Company Name,Website,Address,Phone,Estimated Revenue,Revenue Basis,Description,Freight Reason,Decision-Maker Name,Decision-Maker Title,Decision-Maker Email,Decision-Maker Phone,Pitch,Flags
Irby,http://irby.com,"5908 La Colonia, San Antonio, TX 78218",(210) 661-2348,"$7,350,000",multi-location signal x Electrical Supply baseline,"Learn more SIMPLer Ditch the spreadsheets, disconnected systems, and manual processes.",Gear and fixtures to contractors/sites — steady palletized LTL. Site advertises wide-area shipping — confirmed outbound volume.,,Owner,,,"Ten seconds, then your call — Irby, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Hill Country Electric Supply,http://hces.net,"1215 Industrial Dr, New Braunfels, TX 78130",(830) 620-6300,"$7,350,000",multi-location signal x Electrical Supply baseline,"Electrical Supply based in New Braunfels, TX.",Gear and fixtures to contractors/sites — steady palletized LTL.,,Owner,,,"Ten seconds, then your call — Hill Country Electric Supply, You're a electrical supply in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Low Cost Ignition Interlock,https://www.smartstartinc.com/locations/ignition-interlock-texas-new-braunfels-3183-s-interstate-35-78130,"3183 Interstate 35 S, New Braunfels, TX 78130",(844) 582-0139,"$7,350,000",multi-location signal x Electrical Supply baseline,Please ensure Javascript is enabled for purposes of website accessibility.,Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,,,"Ten seconds, then your call — Low Cost Ignition Interlock, You're a electrical supply in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
City Electric Supply New Braunfels,https://www.cityelectricsupply.com/branches/tx/new-braunfels/new-braunfels,"7094 Interstate 35 N Ste 100, New Braunfels, TX 78130",(830) 302-4416,"$7,350,000",multi-location signal x Electrical Supply baseline,"Solar 5 Promotion Oops! Something went wrong, please try again.",Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,newbraunfels0348@cityelectricsupply.com,,"Ten seconds, then your call — City Electric Supply New Braunfels, You're a electrical supply in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
City Electric Supply Schertz,https://www.cityelectricsupply.com/branches/tx/schertz/schertz,"17349 Bell North Dr Ste 100, Schertz, TX 78154",(210) 650-0629,"$7,350,000",multi-location signal x Electrical Supply baseline,"Solar 5 Promotion Oops! Something went wrong, please try again.",Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,schertz0473@cityelectricsupply.com,,"Ten seconds, then your call — City Electric Supply Schertz, You're a electrical supply in Schertz moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Wholesale Electric Supply,http://www.netwes.com,"7114 N Loop 1604 E, San Antonio, TX 78233",(210) 331-7956,"$7,350,000",multi-location signal x Electrical Supply baseline,All other credit card transactions are subject to a 3% surcharge.,Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,websupport@netwes.com,,"Ten seconds, then your call — Wholesale Electric Supply, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Hill Country Electrical,http://hces.net,"16025 Bulverde Rd, San Antonio, TX 78247",(210) 499-0964,"$7,350,000",multi-location signal x Electrical Supply baseline,"Electrical Supply based in San Antonio, TX.",Gear and fixtures to contractors/sites — steady palletized LTL.,,Owner,,,"Ten seconds, then your call — Hill Country Electrical, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Intoxalock Ignition Interlock,https://www.intoxalock.com/locations/tx/san-antonio/2800-ne-loop-410-13881?utm_medium=yext&utm_source=ExtNet&y_source=1_MjAyMDY5MjAzOS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2800 NE Loop 410 Ste 204, San Antonio, TX 78218",(513) 342-0918,"$7,350,000",multi-location signal x Electrical Supply baseline,Leave a Review TX State Requirements Interlock regulations differ by state.,Gear and fixtures to contractors/sites — steady palletized LTL.,,Owner,,,"Ten seconds, then your call — Intoxalock Ignition Interlock, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
City Electric Supply Boerne,https://www.cityelectricsupply.com/branches/tx/boerne/boerne,"28368 Waterview Dr, Boerne, TX 78006",(830) 388-7709,"$7,350,000",multi-location signal x Electrical Supply baseline,"Solar 5 Promotion Oops! Something went wrong, please try again.",Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,boerne0475@cityelectricsupply.com,,"Ten seconds, then your call — City Electric Supply Boerne, You're a electrical supply in Boerne moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
City Electric Supply Tradesman,https://www.cityelectricsupply.com/branches/tx/san-antonio/tradesman,"15090 Tradesman Ste 300, San Antonio, TX 78249",(210) 680-7683,"$7,350,000",multi-location signal x Electrical Supply baseline,"Solar 5 Promotion Oops! Something went wrong, please try again.",Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,leonvalley0470@cityelectricsupply.com,,"Ten seconds, then your call — City Electric Supply Tradesman, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Lonestar,https://www.lonestarelectricsupply.com,"4036 Binz Engleman Rd, San Antonio, TX 78219",(726) 444-0920,"$7,350,000",multi-location signal x Electrical Supply baseline,Lonestar Electric Supply - We Make It Happen.,Gear and fixtures to contractors/sites — steady palletized LTL. Site confirms wholesale/bulk model — palletized outbound.,Vaughn Region,President,,,"Ten seconds, then your call — Lonestar, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Lonestar Equipment Solutions,https://www.lonestarelectricsupply.com/lonestar-equipment-solutions,"15279 Bulverde Rd, San Antonio, TX 78247",(210) 904-1330,"$7,350,000",multi-location signal x Electrical Supply baseline,"With your trusted brands like DeWalt, Ridgid, Werner and more, you can now procure whatever tool the job calls for at your local Lonestar counter.",Gear and fixtures to contractors/sites — steady palletized LTL.,Phil Holt,President,"pholt@lonestarequipmentsolutions.com,rhannemann@lonestarequipmentsolutions.com",,"Ten seconds, then your call — Lonestar Equipment Solutions, You're a electrical supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",REVENUE_EST_LOW_CONF
HOLT CAT San Antonio,https://www.holtcat.com/contact_us/store_locator/san_antonio?utm_source=extnet&utm_medium=yext,"5665 SE Loop 410, San Antonio, TX 78222",(210) 648-1111,"$6,600,000",multi-location signal x Industrial Supply baseline,"View Rental Inventory Rentals As Big As Texas A full line of construction rentals, from skid steers and compact equipment to light towers.",Equipment and MRO supplies shipped to facilities — frequent crated LTL.,,Owner,holtconnect@holtcat.com,,"I promise I'm not another insurance guy — HOLT CAT San Antonio, You're a industrial supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
United Rentals,https://www.unitedrentals.com/locations/tx/new-braunfels/equipment-tool-rentals/c34?utm_source=otheryext&utm_medium=distrib&utm_campaign=yext,"5080 Interstate 35 S, New Braunfels, TX 78132",(830) 609-2716,"$6,600,000",multi-location signal x Industrial Supply baseline,"Equipment & Tool Rentals C34 - New Braunfels, TX | United Rentals Skip to main content Looks like you're in [country-name].",Equipment and MRO supplies shipped to facilities — frequent crated LTL.,,Owner,rsmith@ur.com,,"I promise I'm not another insurance guy — United Rentals, You're a industrial supply in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
HD Supply,https://hdsupplysolutions.com,"5755 Tri County Pkwy Ste 400, Schertz, TX 78154",(210) 651-5609,"$6,600,000",multi-location signal x Industrial Supply baseline,HD Supply - MRO Products & Solutions Loading.,Equipment and MRO supplies shipped to facilities — frequent crated LTL.,,Owner,,,"I promise I'm not another insurance guy — HD Supply, You're a industrial supply in Schertz moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Bobcat of Marion,https://bobcatcce.com,"12045 W Interstate 10, Marion, TX 78124",(830) 420-9020,"$6,600,000",multi-location signal x Industrial Supply baseline,"Bobcat Compact Construction Equipment, Inc.",Equipment and MRO supplies shipped to facilities — frequent crated LTL.,,Owner,,,"I promise I'm not another insurance guy — Bobcat of Marion, You're a industrial supply in Marion moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
United Rentals,https://www.unitedrentals.com/locations/tx/boerne/equipment-tool-rentals/m26?utm_source=otheryext&utm_medium=distrib&utm_campaign=yext,"29880 Interstate 10 W, Boerne, TX 78006",(830) 755-9131,"$6,600,000",multi-location signal x Industrial Supply baseline,"Equipment & Tool Rentals M26 - Boerne, TX | United Rentals Skip to main content Looks like you're in [country-name].",Equipment and MRO supplies shipped to facilities — frequent crated LTL.,,Owner,thall@ur.com,,"I promise I'm not another insurance guy — United Rentals, You're a industrial supply in Boerne moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
National Wholesale Supply,http://nationalwholesalesupply.com,"3115 NW Loop 410, San Antonio, TX 78230",(210) 549-0474,"$6,600,000",multi-location signal x Plumbing Supply baseline,There is no project too big or too small.,Fixtures and pipe to contractors — recurring heavy LTL. Site advertises wide-area shipping — confirmed outbound volume.,,Owner,info@nationalwholesale.biz,,"I'll talk fast — one freight question — National Wholesale Supply, You're a plumbing supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Appliance Parts Company,http://www.appliancepartscompany.com,"601 Florida St, San Antonio, TX 78210",(210) 223-2675,"$6,600,000",multi-location signal x Plumbing Supply baseline,Appliance Parts Company: Repair and Replacement Parts Online Store Javascript is disabled on your browser.,Fixtures and pipe to contractors — recurring heavy LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,username@domain.com,,"I'll talk fast — one freight question — Appliance Parts Company, You're a plumbing supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Hajoca,http://hajoca.com,"4510 Rittiman Rd, San Antonio, TX 78218",(210) 590-2263,"$6,600,000",multi-location signal x Plumbing Supply baseline,We provide direct shipments from suppliers and fill special orders.,Fixtures and pipe to contractors — recurring heavy LTL. Site confirms wholesale/bulk model — palletized outbound.,,Owner,visitor@hajoca.com,,"I'll talk fast — one freight question — Hajoca, You're a plumbing supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Ferguson Enterprises,https://www.fergusonhome.com/showroom/branch/san-antonio-tx-showroom-0242,"303 N Park Dr, San Antonio, TX 78216",(210) 340-0558,"$6,600,000",multi-location signal x Plumbing Supply baseline,Sales counter hours and contact information may differ.,Fixtures and pipe to contractors — recurring heavy LTL.,,Owner,,,"I'll talk fast — one freight question — Ferguson Enterprises, You're a plumbing supply in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Wilson Company,https://www.wilson-company.com,"6740 Guada Coma Drive, Schertz, TX 78154",(210) 680-2496,"$6,600,000",multi-location signal x Plumbing Supply baseline,Contact Us Online Instructor-Led Hydraulic and Pneumatic Training Learn why components exist and apply them to reduce downtime.,Fixtures and pipe to contractors — recurring heavy LTL.,,Owner,,,"I'll talk fast — one freight question — Wilson Company, You're a plumbing supply in Schertz moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
San Antonio Belting & Pulley,http://www.sabelting.com,"1464 Eastwood Dr, Seguin, TX 78155",(830) 549-5063,"$6,600,000",multi-location signal x Plumbing Supply baseline,San Antonio Belting & Pulley – serving San Antonio since 1928.,Fixtures and pipe to contractors — recurring heavy LTL. Site advertises wide-area shipping — confirmed outbound volume.,,Owner,,,"I'll talk fast — one freight question — San Antonio Belting & Pulley, You're a plumbing supply in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
